24/07/2023 18:51:49 Vitor Cadastrou -> VC84388 
24/07/2023 18:58:10 Vitor Cadastrou -> VC76143 
24/07/2023 18:58:41 Vitor Cadastrou -> VC84491 
24/07/2023 19:03:01 mateus Cadastrou -> VC75026 
24/07/2023 19:03:40 mateus Cadastrou -> VC84502 
24/07/2023 19:05:16 mateus Cadastrou -> VC75024 
24/07/2023 19:06:02 mateus Cadastrou -> VC84371 
24/07/2023 19:13:03 mateus Cadastrou -> VC74862 
24/07/2023 19:13:42 mateus Cadastrou -> VC84376 
24/07/2023 19:16:23 mateus Cadastrou -> VC75027 
24/07/2023 19:17:04 mateus Cadastrou -> VC84425 
24/07/2023 19:18:55 mateus Cadastrou -> VC75010 
24/07/2023 19:19:37 mateus Cadastrou -> VC84366 
24/07/2023 19:21:17 mateus Cadastrou -> VC75202 
24/07/2023 19:21:45 mateus Cadastrou -> VC84091 
24/07/2023 19:25:55 mateus Cadastrou -> VC75198 
24/07/2023 19:26:30 mateus Cadastrou -> VC84089 
24/07/2023 19:29:10 mateus Cadastrou -> VC75200 
